name,email,subject,date,year,month,day,hour,minute,domain,party,disclaimer,committee,cogito_14b,gpt-4o_november,granite31_dense,olmo2_13b,phi4_november,mistral_small,qwq_november,internlm3_8b,qwen3_14b,qwen25_november,qwen3_32b,granite3.2_november,cogito_70b,llama_4,internlm2_november,phi3_november,openthinker_32b,olmo2_7b,llama33_november,cogito_32b,granite3.3_november,gemma3_27b,deepseek_r1,gemini_25,qwen3_8b,command_a,gpt_5,gemini20_flash,claude35_haiku,mixtral_november,command_r7b,gpt_41,mistral_nemo,exaone35_32b,hermes3_70b,gemma3_12b,gptoss20b_november,claude_sonnet,exaone_deep,tulu3_8b,gemma2_november,claude35_sonnet,phi4_reasoning,gemini25_flash,qwen25_72b,phi4_mini,claude37_sonnet,o3-mini_november,gemma2_27b,claude_haiku,model_count,exact_matches
Katie Porter,info@democraticsecretaries.org,Help Democrats defend democracy in the courtroom.,11/1/24 22:16,2024,11,1,22,16,democraticsecretaries.org,D,True,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,"DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE, TREASURER DENISE MERRILL",DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,47,46
Laura Gillen,info@lauragillen.com,all eyes on our district,11/1/24 22:23,2024,11,1,22,23,lauragillen.com,D,True,GILLEN FOR NY,GILLEN FOR NY,GILLEN FOR NY,GILLEN FOR NY,GILLEN FOR NY,GILLEN FOR NY,GILLEN FOR NY,GILLEN FOR NY,GILLEN FOR NY,,GILLEN FOR NY,,GILLEN FOR NY,GILLEN FOR NY,GILLEN FOR NY,GILLEN FOR NY,GILLEN FOR NY,GILLEN FOR NY,GILLEN FOR NY,GILLEN FOR NY,GILLEN FOR NY,GILLEN FOR NY,GILLEN FOR NY,GILLEN FOR NY,GILLEN FOR NY,GILLEN FOR NY,GILLEN FOR NY,GILLEN FOR NY,GILLEN FOR NY,GILLEN FOR NY,GILLEN FOR NY,GILLEN FOR NY,GILLEN FOR NY,GILLEN FOR NY,GILLEN FOR NY,,GILLEN FOR NY,GILLEN FOR NY,GILLEN FOR NY,GILLEN FOR NY,GILLEN FOR NY,GILLEN FOR NY,GILLEN FOR NY,GILLEN FOR NY,GILLEN FOR NY,GILLEN FOR NY,GILLEN FOR NY,GILLEN FOR NY,GILLEN FOR NY,GILLEN FOR NY,GILLEN FOR NY,47,47
John James HQ - War Room,info@itsourgreatamerica.com,Crisis point,11/1/24 22:25,2024,11,1,22,25,itsourgreatamerica.com,R,True,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN UN-SUB,JOHN JAMES FOR MICHIGAN,JOHN JAMES HQ - WAR ROOM,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHNJAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,50,47
Team Casey,info@email.bobcasey.com,Join Bob Casey for Senate on Election Night in Scranton!,11/1/24 22:26,2024,11,1,22,26,email.bobcasey.com,D,True,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,49,41
Brianna Carmen,connect@emergeamerica.org,here’s what’s at stake down the ballot:,11/1/24 22:29,2024,11,1,22,29,emergeamerica.org,D,True,EMERGE AMERICA,EMERGE AMERICA,EMERGE AMERICA,EMERGE AMERICA,EMERGE AMERICA,EMERGE AMERICA,EMERGE AMERICA,EMERGE AMERICA,EMERGE AMERICA,,EMERGE AMERICA,EMERGE AMERICA,EMERGE AMERICA,EMERGE AMERICA,EMERGE AMERICA,EMERGE AMERICA,EMERGE AMERICA,EMERGE AMERICA,EMERGE AMERICA,EMERGE AMERICA,EMERGE AMERICA,EMERGE AMERICA,EMERGE AMERICA,EMERGE AMERICA,EMERGE AMERICA,EMERGE AMERICA,EMERGE AMERICA,EMERGE AMERICA,EMERGE AMERICA,EMERGE AMERICA,EMERGE AMERICA,EMERGE AMERICA,EMERGE AMERICA,EMERGE AMERICA,EMERGE AMERICA,EMERGE AMERICA,EMERGE AMERICA,EMERGE AMERICA,EMERGE AMERICA,EMERGE AMERICA,EMERGE AMERICA,EMERGE AMERICA,EMERGE AMERICA,EMERGE AMERICA,EMERGE AMERICA,EMERGE AMERICA,EMERGE AMERICA,EMERGE AMERICA,EMERGE AMERICA,EMERGE AMERICA,EMERGE AMERICA,49,49
Dan Osborn,info@adamforcolorado.com,this was a very difficult decision,11/1/24 22:32,2024,11,1,22,32,adamforcolorado.com,D,True,ADAM FOR COLORADO,ADAM FOR COLORADO,ADAM FOR COLORADO,,ADAM FOR COLORADO,ADAM FOR COLORADO,ADAM FOR COLORADO,ADAM FOR COLORADO,,ADAM FOR COLORADO,ADAM FOR COLORADO,ADAM FOR COLORADO,,ADAM FOR COLORADO,ADAM FOR COLORADO,ADAM FOR COLORADO,,ADAM FOR COLORADO,ADAM FOR COLORADO,ADAM FOR COLORADO,ADAM FOR COLORADO,,ADAM FOR COLORADO,,ADAM FOR COLORADO,ADAM FOR COLORADO,,ADAM FOR COLORADO,ADAM FOR COLORADO,ADAM FOR COLORADO,,,ADAM FOR COLORADO,,,ADAM FOR COLORADO,ADAMFOR COLORADO,ADAMFOR COLORADO,ADAM FOR COLORADO,,ADAM FOR COLORADO,ADAM FOR COLORADO,ADAM FOR COLORADO,ADAM FOR COLORADO,ADAM FOR COLORADO,ADAM FOR COLORADO,ADAM FOR COLORADO,ADAM FOR COLORADO,ADAM FOR COLORADO,ADAM FOR COLORADO,ADAM FOR COLORADO,38,36
Senate Conservatives,info@freedomfirstalert.com,Five Close Senate Races,11/1/24 22:33,2024,11,1,22,33,freedomfirstalert.com,R,True,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,50,50
Team NDRC,info@democraticredistricting.com,As Attorney General Holder says…,11/1/24 22:35,2024,11,1,22,35,democraticredistricting.com,D,True,NATIONAL DEMOCRATIC REDISTRICTING COMMITTEE,,NATIONAL DEMOCRATIC REDISTRICTING COMMITTEE,,,,NATIONAL DEMOCRATIC REDISTRICTING COMMITTEE,,,,NATIONAL DEMOCRATIC REDISTRICTING COMMITTEE,,,,NATIONAL DEMOCRATIC REDISTRICTING COMMITTEE,,,,,,,,,,NATIONAL DEMOCRATIC REDISTRICTING COMMITTEE,,,NATIONAL DEMOCRATIC REDISTRICTING COMMITTEE,NATIONAL DEMOCRATIC REDISTRICTING COMMITTEE,NATIONAL DEMOCRATIC REDISTRICTING COMMITTEE,,,NATIONAL DEMOCRATIC REDISTRICTING COMMITTEE,,,,,NATIONAL DEMOCRATIC REDISTRICTING COMMITTEE,"THE NATIONAL DEMOCRATIC REDISTRICTING COMMITTEE, JOHN BISOGNANO, PRESIDENT",,,,NATIONAL DEMOCRATIC REDISTRICTING COMMITTEE,,NATIONAL DEMOCRATIC REDISTRICTING COMMITTEE,,,NATIONAL DEMOCRATIC REDISTRICTING COMMITTEE,NATIONAL DEMOCRATIC REDISTRICTING COMMITTEE,,NATIONAL DEMOCRATIC REDISTRICTING COMMITTEE,16,15
Mark Takano,info@marktakano.com,What else needs to be said??,11/1/24 22:36,2024,11,1,22,36,marktakano.com,D,True,MARK TAKANO FOR CONGRESS,MARK TAKANO FOR CONGRESS,MARK TAKANO FOR CONGRESS,MARK TAKANO FOR CONGRESS,MARK TAKANO FOR CONGRESS,MARK TAKANO FOR CONGRESS,MARK TAKANO FOR CONGRESS,MARK TAKANO FOR CONGRESS,MARK TAKANO FOR CONGRESS,MARK TAKANO FOR CONGRESS,MARK TAKANO FOR CONGRESS,MARK TAKANO FOR CONGRESS,MARK TAKANO FOR CONGRESS,MARK TAKANO FOR CONGRESS,MARK TAKANO FOR CONGRESS,MARK TAKANO FOR CONGRESS,MARK TAKANO FOR CONGRESS,MARK TAKANO FOR CONGRESS,MARK TAKANO FOR CONGRESS,MARK TAKANO FOR CONGRESS,MARK TAKANO FOR CONGRESS,MARK TAKANO FOR CONGRESS,MARK TAKANO FOR CONGRESS,,MARK TAKANO FOR CONGRESS,MARK TAKANO FORCONGRESS,MARK TAKANO FOR CONGRESS,MARK TAKANO FORCONGRESS,MARK TAKANO FOR CONGRESS,MARK TAKANO FOR CONGRESS,MARK TAKANO FORCONGRESS,MARK TAKANO FOR CONGRESS,MARK TAKANO FOR CONGRESS,MARK TAKANO FOR CONGRESS,MARK TAKANO FORCONGRESS,MARK TAKANO FOR CONGRESS,MARK TAKANO FORCONGRESS,MARK TAKANO FORCONGRESS,MARK TAKANO FOR CONGRESS,MARK TAKANO FORCONGRESS,MARK TAKANO FOR CONGRESS,MARK TAKANO FOR CONGRESS,MARK TAKANO FOR CONGRESS,MARK TAKANO FOR CONGRESS,MARK TAKANO FORCONGRESS,MARK TAKANO FOR CONGRESS,MARK TAKANO FORCONGRESS,MARK TAKANO FOR CONGRESS,MARK TAKANO FORCONGRESS,MARK TAKANO FOR CONGRESS,MARK TAKANO FOR CONGRESS,49,39
Hung Cao,info@g4yamerica.com,Knock knock knock,11/1/24 22:38,2024,11,1,22,38,g4yamerica.com,R,True,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO CAMPAIGN,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,50,49
Hung Cao,info@makingamericathegreatest.com,The end of the road,11/1/24 22:38,2024,11,1,22,38,makingamericathegreatest.com,R,True,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,49,49
Frank Mrvan,info@indems.org,Good news and bad news...,11/1/24 22:39,2024,11,1,22,39,indems.org,D,True,INDIANA DEMOCRATIC PARTY,INDIANA DEMOCRATIC PARTY,INDIANA DEMOCRATIC PARTY,INDIANA DEMOCRATIC PARTY,INDIANADEMOCRATIC PARTY,INDIANA DEMOCRATIC PARTY,INDIANA DEMOCRATIC PARTY,INDIANA DEMOCRATIC PARTY,INDINADEMOCRATS,,INDIANA DEMOCRATIC PARTY,INDIANA DEMOCRATIC PARTY,INDIANA DEMOCRATIC PARTY,INDIANA DEMOCRATIC PARTY,INDIANADEMOCRATIC PARTY,INDIANA DEMOCRATIC PARTY,INDIANA DEMOCRATIC PARTY,INDIANA DEMOCRATIC PARTY,INDIANADEMOCRATIC PARTY,INDIANA DEMOCRATIC PARTY,INDIANA DEMOCRATIC PARTY,INDIANA DEMOCRATIC PARTY,INDIANADEMOCRATIC PARTY,INDIANA DEMOCRATIC PARTY,INDIANA DEMOCRATIC PARTY,INDIANADEMOCRATICPARTY,INDIANA DEMOCRATIC PARTY,"THE INDIANADEMOCRATIC PARTY, WWW.INDEMS.ORG.",THE INDIANA DEMOCRATIC PARTY,INDIANA DEMOCRATIC PARTY,INDIANA DEMOCRATIC PARTY,INDIANADEMOCRATIC PARTY,INDIANA DEMOCRATIC PARTY,INDIANA DEMOCRATIC PARTY,INDIANADEMOCRATIC PARTY,,INDIANA DEMOCRATIC PARTY,THE INDIANADEMOCRATIC PARTY,THE INDIANA DEMOCRATIC PARTY,INDIANADEMOCRATIC PARTY,INDIANA DEMOCRATIC PARTY,INDIANA DEMOCRATIC PARTY,INDIANA DEMOCRATIC PARTY,INDIANA DEMOCRATIC PARTY,INDIANA DEMOCRATIC PARTY,INDIANA DEMOCRATIC PARTY,INDIANA DEMOCRATIC PARTY,INDIANA DEMOCRATIC PARTY,INDIANADEMOCRATIC PARTY,INDIANA DEMOCRATIC PARTY,INDIANA DEMOCRATIC PARTY,48,34
900% MATCH EXTENDED (via HMP),info@housemajoritypac.org,please please please (Obamas),11/1/24 22:40,2024,11,1,22,40,housemajoritypac.org,D,True,HMP,HMP,HMP,HOUSE MAJORITY PAC,HMP,HMP,HMP,HMP,,,HMP,,HOUSE MAJORITY PAC,HMP,HMP,HOUSE MAJORITY PAC,,HMP,HOUSE MAJORITY PAC,HMP,HMP,HMP,HMP,HMP,HMP,HMP,,HMP,HMP,HOUSE MAJORITY PAC,,,HMP,HMP,,HMP,HMP,HMP,HMP,,HOUSE MAJORITY PAC,HMP,HMP,HMP,HMP,HMP,HOUSE MAJORITY PAC,HMP,HMP,HMP,HMP,41,34
Marie Gluesenkamp Perez,info@marieforcongress.com,Not much time left,11/1/24 22:42,2024,11,1,22,42,marieforcongress.com,D,True,MARIE FOR CONGRESS,MARIE FOR CONGRESS,MARIE FOR CONGRESS,MARIE FOR CONGRESS,MARIE FOR CONGRESS,MARIE FOR CONGRESS,MARIE FOR CONGRESS,MARIE FOR CONGRESS,MARIE FOR CONGRESS,,MARIE FOR CONGRESS,,MARIE FOR CONGRESS,MARIE FOR CONGRESS,MARIE FOR CONGRESS,MARIE FOR CONGRESS,MARIE FOR CONGRESS,MARIE FOR CONGRESS,MARIE FOR CONGRESS,MARIE FOR CONGRESS,MARIE FOR CONGRESS,MARIE FOR CONGRESS,MARIE FOR CONGRESS,MARIE FOR CONGRESS,MARIE FOR CONGRESS,MARIE FOR CONGRESS,MARIE FOR CONGRESS,MARIE FOR CONGRESS,MARIE FOR CONGRESS,MARIE FOR CONGRESS,MARIE FOR CONGRESS,MARIE FOR CONGRESS,MARIE FOR CONGRESS,MARIE FOR CONGRESS,MARIE FOR CONGRESS,MARIE FOR CONGRESS,MARIE FOR CONGRESS,MARIE FOR CONGRESS,MARIE FOR CONGRESS,MARIE FOR CONGRESS,MARIE FOR CONGRESS,MARIE FOR CONGRESS,MARIE FOR CONGRESS,MARIE FOR CONGRESS,MARIE FOR CONGRESS,MARIE FOR CONGRESS,MARIE FOR CONGRESS,MARIE FOR CONGRESS,MARIE FOR CONGRESS,MARIE FOR CONGRESS,MARIE FOR CONGRESS,48,48
Ruben Gallego,info@timkaine.com,We did not come this far to lose to Kari Lake,11/1/24 22:43,2024,11,1,22,43,timkaine.com,D,True,KAINE FOR VIRGINIA,KAINE FOR VIRGINIA,KAINE FOR VIRGINIA,KAINE FOR VIRGINIA,KAINE FOR VIRGINIA,KAINE FOR VIRGINIA,KAINE FOR VIRGINIA,KAINE FOR VIRGINIA,KAENE FOR VIRGINIA,,KAINE FOR VIRGINIA,KAINE FOR VIRGINIA,KAINE FOR VIRGINIA,KAINE FOR VIRGINIA,KAINE FOR VIRGINIA,KAINE FOR VIRGINIA,TIM KAINE FOR VIRGINIA,KAINE FOR VIRGINIA,KAINE FOR VIRGINIA,KAINE FOR VIRGINIA,KAINE FOR VIRGINIA,KAINE FOR VIRGINIA,KAINE FOR VIRGINIA,KAINE FOR VIRGINIA,KAINE FOR VIRGINIA,,KAINE FOR VIRGINIA,KAINE FORVIRGINIA,KAINE FOR VIRGINIA,KAINE FOR VIRGINIA,KAINE FOR VIRGINIA,KAINE FOR VIRGINIA,KAINE FOR VIRGINIA,KAINE FOR VIRGINIA,KAINE FOR VIRGINIA,,KAINE FOR VIRGINA,"KAINE FOR VIRGINIA, 1490-5A QUARTERPATH ROAD #272, WILLIAMSBURG, VA 23185",KAINE FOR VIRGINIA,KAINE FOR VIRGINIA,KAINE FOR VIRGINIA,KAINE FOR VIRGINIA,KAINE FOR VIRGINIA,KAINE FOR VIRGINIA,KAINE FOR VIRGINIA,KAINE FOR VIRGINIA,KAINE FOR VIRGINIA,KAINE FOR VIRGINIA,KAINE FORVIRGINIA,KAINE FOR VIRGINIA,KAINE FOR VIRGINIA,47,41
Final Urgent GOP Memo (Hellfire PAC),hello@m.conservativeum.com,Things just went from bad to worse!,11/1/24 22:45,2024,11,1,22,45,m.conservativeum.com,,True,HELLFIRE PAC,HELLFIRE PAC,HELLFIRE PAC,HELLFIRE PAC,HELLFIRE PAC,HELLFIRE PAC,HELLFIRE PAC,HELLFIRE PAC,HELLFIRE PAC,,HELLFIRE PAC,,HELLFIRE PAC,HELLFIRE PAC,HELLFIRE PAC,HELLFIRE PAC,HELLFIRE PAC,HELLFIRE PAC,HELLFIRE PAC,HELLFIRE PAC,HELLFIRE PAC,HELLFIRE PAC,HELLFIRE PAC,HELLFIRE PAC,HELLFIRE PAC,HELLFIRE PAC,HELLFIRE PAC,HELLFIRE PAC,HELLFIRE PAC,HELLFIRE PAC,HELLFIRE PAC,HELLFIRE PAC,HELLFIRE PAC,HELLFIRE PAC,HELLFIRE PAC,HELLFIRE PAC,HELLFIRE PAC,HELLFIRE PAC,HELLFIRE PAC,HELLFIRE PAC,HELLFIRE PAC,HELLFIRE PAC,HELLFIRE PAC,HELLFIRE PAC,HELLFIRE PAC,HELLFIRE PAC,HELLFIRE PAC,HELLFIRE PAC,HELLFIRE PAC,HELLFIRE PAC,HELLFIRE PAC,48,48
